@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
205,'2024/12/19 00:00:09:180',4,-0.014994,0.100208,-0.251149,0.348394,-0.001077,0.499467,?,?,?
206,'2024/12/19 00:00:11:385',5,0.195458,-0.194985,-0.014208,0.278734,-0.007388,0.449622,?,?,?
207,'2024/12/19 00:00:11:386',5,0.13848,0.358457,0.28601,0.476299,-0.039629,0.538451,?,?,?
208,'2024/12/19 00:00:11:795',5,-0.104387,0.125848,0.259646,0.677961,-0.029879,0.547648,?,?,?
209,'2024/12/19 00:00:11:796',5,0.067651,-0.177303,0.174925,0.620085,0.002783,0.433846,?,?,?
210,'2024/12/19 00:00:12:001',5,0.017244,-0.011119,-0.443308,0.409485,0.007018,0.501827,?,?,?
211,'2024/12/19 00:00:13:126',6,0.000461,0.01236,-0.002023,0.370134,-0.020169,0.497398,?,?,?
212,'2024/12/19 00:00:13:127',6,0.009566,0.014757,0.007348,0.368549,-0.022,0.497235,?,?,?
213,'2024/12/19 00:00:13:183',6,-0.027328,-0.050634,0.089589,0.353536,-0.02523,0.492804,?,?,?
214,'2024/12/19 00:00:13:384',6,0.229084,-0.026344,-0.693831,0.36251,0.080358,0.49746,?,?,?
215,'2024/12/19 00:00:13:740',6,0.128228,0.628703,0.530819,0.67243,-0.141541,0.601543,?,?,?
216,'2024/12/19 00:00:13:784',6,-0.06314,-0.108723,0.457984,0.756407,-0.110613,0.564937,?,?,?
217,'2024/12/19 00:00:14:010',6,0.118124,-0.091122,-0.399382,0.361167,0.005165,0.450529,?,?,?
218,'2024/12/19 00:00:14:184',6,-0.031414,0.087345,-0.19898,0.245599,-0.013407,0.52348,?,?,?
